Date,Daily_Max_Load,Max_Temperature,Avg_Humidity,Month,Year,IsWeekend,YearMonth,Peak_Day
2012-10-01,15094.0,288.961047606,56.416666666666664,10,2012,0,2012-10,0
2012-10-02,15921.0,294.85,50.5,10,2012,0,2012-10,0
2012-10-03,15553.0,292.88,68.54166666666667,10,2012,0,2012-10,0
2012-10-04,15569.0,295.27,95.0,10,2012,0,2012-10,0
2012-10-05,15189.0,296.27,93.04166666666667,10,2012,0,2012-10,0
2012-10-06,13409.0,299.78,71.04166666666667,10,2012,1,2012-10,0
2012-10-07,14246.0,297.84,66.45833333333333,10,2012,1,2012-10,0
2012-10-08,16080.0,286.81,62.25,10,2012,0,2012-10,0
2012-10-09,15842.0,285.78,69.91666666666667,10,2012,0,2012-10,0
2012-10-10,15772.0,288.6,76.70833333333333,10,2012,0,2012-10,0
2012-10-11,16641.0,291.3,85.04166666666667,10,2012,0,2012-10,0
2012-10-12,15368.0,288.76,46.958333333333336,10,2012,0,2012-10,0
2012-10-13,14295.0,287.1,59.208333333333336,10,2012,1,2012-10,0
2012-10-14,14147.0,285.09,46.041666666666664,10,2012,1,2012-10,0
2012-10-15,15512.0,294.95,62.0,10,2012,0,2012-10,0
2012-10-16,15879.0,295.05,73.33333333333333,10,2012,0,2012-10,0
2012-10-17,15566.0,289.4,61.125,10,2012,0,2012-10,0
2012-10-18,15244.0,290.16,57.125,10,2012,0,2012-10,0
2012-10-19,15494.0,291.98,70.25,10,2012,0,2012-10,0
2012-10-20,13789.0,292.94,88.16666666666667,10,2012,1,2012-10,0
2012-10-21,13580.0,291.47,85.625,10,2012,1,2012-10,0
2012-10-22,15685.0,291.46,53.041666666666664,10,2012,0,2012-10,0
2012-10-23,15520.0,293.34,50.125,10,2012,0,2012-10,0
2012-10-24,15554.0,290.52,61.75,10,2012,0,2012-10,0
2012-10-25,15527.0,288.99,86.16666666666667,10,2012,0,2012-10,0
2012-10-26,14734.0,289.77,76.625,10,2012,0,2012-10,0
2012-10-27,13764.0,291.88,73.66666666666667,10,2012,1,2012-10,0
2012-10-28,15314.0,291.36,75.5,10,2012,1,2012-10,0
2012-10-29,18437.0,288.68,71.91666666666667,10,2012,0,2012-10,1
2012-10-30,17439.0,289.97,79.33333333333333,10,2012,0,2012-10,0
2012-10-31,17245.0,289.3,74.83333333333333,10,2012,0,2012-10,0
2012-11-01,16524.0,284.27,62.25,11,2012,0,2012-11,0
2012-11-02,16567.0,284.44,64.95833333333333,11,2012,0,2012-11,0
2012-11-03,15418.0,284.6,61.416666666666664,11,2012,1,2012-11,0
2012-11-04,15537.0,283.58,62.0,11,2012,1,2012-11,0
2012-11-05,17724.0,283.85,64.58333333333333,11,2012,0,2012-11,0
2012-11-06,18017.0,281.53,60.083333333333336,11,2012,0,2012-11,0
2012-11-07,17085.0,279.78,47.041666666666664,11,2012,0,2012-11,0
2012-11-08,17952.0,277.58,69.125,11,2012,0,2012-11,0
2012-11-09,17615.0,281.63,68.04166666666667,11,2012,0,2012-11,0
2012-11-10,14531.0,285.46,50.125,11,2012,1,2012-11,0
2012-11-11,13876.0,286.03,62.75,11,2012,1,2012-11,0
2012-11-12,16459.0,290.94,72.0,11,2012,0,2012-11,0
2012-11-13,17703.0,292.31,87.5,11,2012,0,2012-11,0
2012-11-14,18652.0,289.05,84.125,11,2012,0,2012-11,0
2012-11-15,18677.0,282.6,54.833333333333336,11,2012,0,2012-11,0
2012-11-16,18489.0,280.5,64.70833333333333,11,2012,0,2012-11,0
2012-11-17,16267.0,281.87,59.333333333333336,11,2012,1,2012-11,0
2012-11-18,15235.0,285.25,53.708333333333336,11,2012,1,2012-11,0
2012-11-19,17318.0,282.93,63.875,11,2012,0,2012-11,0
2012-11-20,16658.0,282.36,72.08333333333333,11,2012,0,2012-11,0
2012-11-21,16828.0,283.31,67.33333333333333,11,2012,0,2012-11,0
2012-11-22,14745.0,285.66,58.958333333333336,11,2012,0,2012-11,0
2012-11-23,15077.0,286.69,66.79166666666667,11,2012,0,2012-11,0
2012-11-24,16555.0,288.14,80.5,11,2012,1,2012-11,0
2012-11-25,16173.0,282.92,51.875,11,2012,1,2012-11,0
2012-11-26,17912.0,278.16,45.208333333333336,11,2012,0,2012-11,0
2012-11-27,18319.0,283.27,43.5,11,2012,0,2012-11,0
2012-11-28,18640.0,276.47,67.04166666666667,11,2012,0,2012-11,0
2012-11-29,19504.0,278.41,69.70833333333333,11,2012,0,2012-11,1
2012-11-30,18493.0,279.93,64.04166666666667,11,2012,0,2012-11,0
2012-12-01,15698.0,280.7,54.583333333333336,12,2012,1,2012-12,0
2012-12-02,14996.0,281.75,81.83333333333333,12,2012,1,2012-12,0
2012-12-03,16013.0,282.93,91.58333333333333,12,2012,0,2012-12,0
2012-12-04,16265.0,290.07,76.125,12,2012,0,2012-12,0
2012-12-05,17530.0,289.33,88.70833333333333,12,2012,0,2012-12,0
2012-12-06,18526.0,285.73,70.78260869565217,12,2012,0,2012-12,0
2012-12-07,16678.0,278.63,49.291666666666664,12,2012,0,2012-12,0
2012-12-08,15641.0,278.58,64.58333333333333,12,2012,1,2012-12,0
2012-12-09,16086.0,284.85,88.66666666666667,12,2012,1,2012-12,0
2012-12-10,17667.0,282.05,79.95833333333333,12,2012,0,2012-12,0
2012-12-11,18917.0,286.99,93.79166666666667,12,2012,0,2012-12,0
2012-12-12,18927.0,286.67,72.16666666666667,12,2012,0,2012-12,0
2012-12-13,19425.0,279.73,48.708333333333336,12,2012,0,2012-12,0
2012-12-14,19331.0,281.36,49.5,12,2012,0,2012-12,0
