Datetime,Load,Temperature,Humidity,Hour,Day,Month,Year,Weekday,IsWeekend,Date,Peak_Hour
2012-10-01 12:00:00,14607.0,288.22,58.0,12,1,10,2012,0,0,2012-10-01,0
2012-10-01 13:00:00,14683.0,288.22,58.0,13,1,10,2012,0,0,2012-10-01,0
2012-10-01 14:00:00,14648.0,288.24767617,57.0,14,1,10,2012,0,0,2012-10-01,0
2012-10-01 15:00:00,14466.0,288.326939663,57.0,15,1,10,2012,0,0,2012-10-01,0
2012-10-01 16:00:00,14358.0,288.406203155,57.0,16,1,10,2012,0,0,2012-10-01,0
2012-10-01 17:00:00,14342.0,288.485466648,57.0,17,1,10,2012,0,0,2012-10-01,0
2012-10-01 18:00:00,14346.0,288.564730141,56.0,18,1,10,2012,0,0,2012-10-01,0
2012-10-01 19:00:00,14490.0,288.643993634,56.0,19,1,10,2012,0,0,2012-10-01,0
2012-10-01 20:00:00,15094.0,288.723257127,56.0,20,1,10,2012,0,0,2012-10-01,1
2012-10-01 21:00:00,15004.0,288.80252062,55.0,21,1,10,2012,0,0,2012-10-01,0
2012-10-01 22:00:00,14432.0,288.881784113,55.0,22,1,10,2012,0,0,2012-10-01,0
2012-10-01 23:00:00,13557.0,288.961047606,55.0,23,1,10,2012,0,0,2012-10-01,0
2012-10-02 00:00:00,12658.0,289.040311099,55.0,0,2,10,2012,1,0,2012-10-02,0
2012-10-02 01:00:00,12007.0,289.119574592,54.0,1,2,10,2012,1,0,2012-10-02,0
2012-10-02 02:00:00,11525.0,289.198838085,54.0,2,2,10,2012,1,0,2012-10-02,0
2012-10-02 03:00:00,11320.0,289.278101578,54.0,3,2,10,2012,1,0,2012-10-02,0
2012-10-02 04:00:00,11361.0,289.357365071,53.0,4,2,10,2012,1,0,2012-10-02,0
2012-10-02 05:00:00,11583.0,289.436628564,53.0,5,2,10,2012,1,0,2012-10-02,0
2012-10-02 06:00:00,12103.0,289.515892057,53.0,6,2,10,2012,1,0,2012-10-02,0
2012-10-02 07:00:00,13581.0,289.595155549,53.0,7,2,10,2012,1,0,2012-10-02,0
2012-10-02 08:00:00,14378.0,289.674419042,52.0,8,2,10,2012,1,0,2012-10-02,0
2012-10-02 09:00:00,14462.0,289.753682535,52.0,9,2,10,2012,1,0,2012-10-02,0
