Datetime,Load,Temperature,Humidity,Hour,Day,Month,Year,Weekday,IsWeekend,Date,Peak_Hour,Peak_Hour_Prob
2012-10-01 20:00:00,15094.0,288.723257127,56.0,20,1,10,2012,0,0,2012-10-01,1,0.811221168926189
2012-10-01 21:00:00,15004.0,288.80252062,55.0,21,1,10,2012,0,0,2012-10-01,0,0.6987013916237274
2012-10-02 21:00:00,15921.0,294.85,43.0,21,2,10,2012,1,0,2012-10-02,1,0.8096281835232817
2012-10-02 20:00:00,15863.0,294.72,43.0,20,2,10,2012,1,0,2012-10-02,0,0.8072476544374492
2012-10-03 21:00:00,15553.0,290.62,93.0,21,3,10,2012,2,0,2012-10-03,1,0.8119930438236156
2012-10-03 20:00:00,15498.0,290.62,93.0,20,3,10,2012,2,0,2012-10-03,0,0.8028976008222699
2012-10-04 21:00:00,15569.0,294.72,88.0,21,4,10,2012,3,0,2012-10-04,1,0.7476980136907503
2012-10-04 20:00:00,15527.0,294.98,88.0,20,4,10,2012,3,0,2012-10-04,0,0.7287568027519413
2012-10-05 15:00:00,15189.0,295.37,88.0,15,5,10,2012,4,0,2012-10-05,1,0.6656171476460423
2012-10-05 20:00:00,14704.0,295.87,83.0,20,5,10,2012,4,0,2012-10-05,0,0.6491827103707544
2012-10-06 21:00:00,13409.0,299.18,42.0,21,6,10,2012,5,1,2012-10-06,1,0.30684282142064634
2012-10-06 20:00:00,13331.0,299.78,39.0,20,6,10,2012,5,1,2012-10-06,0,0.2911486048012951
2012-10-07 21:00:00,14246.0,292.87,68.0,21,7,10,2012,6,1,2012-10-07,1,0.585277141849655
2012-10-07 20:00:00,14203.0,294.43,56.0,20,7,10,2012,6,1,2012-10-07,0,0.5654377560648214
2012-10-08 08:00:00,15583.0,281.68,54.0,8,8,10,2012,0,0,2012-10-08,0,0.8541452049204219
2012-10-08 21:00:00,16080.0,284.12,76.0,21,8,10,2012,0,0,2012-10-08,1,0.7274644723096501
2012-10-09 20:00:00,15304.0,285.63,58.0,20,9,10,2012,1,0,2012-10-09,0,0.7492329159128368
2012-10-09 08:00:00,15820.0,279.055,78.0,8,9,10,2012,1,0,2012-10-09,0,0.6960448804470103
2012-10-10 08:00:00,15449.0,283.52,71.0,8,10,10,2012,2,0,2012-10-10,0,0.8512572802766318
2012-10-10 20:00:00,15603.0,287.18,93.0,20,10,10,2012,2,0,2012-10-10,0,0.8173163040146949
2012-10-11 21:00:00,15327.0,291.27,48.0,21,11,10,2012,3,0,2012-10-11,0,0.7804011350106976
2012-10-11 20:00:00,15221.0,291.3,73.0,20,11,10,2012,3,0,2012-10-11,0,0.7566002078109264
2012-10-12 08:00:00,15322.0,282.27,58.0,8,12,10,2012,4,0,2012-10-12,0,0.8448959972291891
2012-10-12 09:00:00,15368.0,281.89,53.0,9,12,10,2012,4,0,2012-10-12,1,0.7078924480376897
